seriesTitle,genre,metascore,started_android,completed_android,completed_ios,started_ios,readCount,loveCount,editorsChoice
Text Date,Comedy,43.70689230176767,2848,280,980,1526,1455,39,false
The $400,Comedy,49.567646116180136,4462,609,2758,4235,9789,170,false
The App,Comedy,45.204846454238194,55532,11311,39992,115114,137559,3252,false
The Breakup,Comedy,39.766346392073075,785,94,261,563,746,16,false
The Devil Texts At Midnight,Comedy,43.118650942784086,117123,46816,70967,190248,352603,1087,false
The Devil's Wish,Comedy,54.12451659957096,2745,687,1988,3351,3227,69,false
The Favor,Comedy,55.3908333411113,22960,7650,22052,39249,149447,2425,false
The Gun,Comedy,50.659606125770274,1181,116,339,561,620,29,false
The Interview,Comedy,48.28330664325411,4930,613,2369,4214,5877,138,false
The Love Bot,Comedy,48.25643962620788,1616,195,559,992,1452,41,false
The Thing,Comedy,56.56567187979667,24760,7650,24264,51290,124216,4430,false
The Ticket,Comedy,47.413822406417786,2096,221,768,1173,2829,78,false
The Trap,Comedy,58.16278980765397,20424,5871,20088,34025,78651,2649,false
Trump Requests An Uber,Comedy,40.01503135401905,8203,856,4665,17622,20217,480,false
Trunk Text,Comedy,54.306819119156614,16553,4700,14844,24553,36380,549,false
Undead Cat,Comedy,54.30390933319531,3706,501,1771,2729,3466,119,false
"Be Home Soon",Horror,44.16412948595877,4291,1666,6578,15917,7559,81,false
20 Questions,Horror,50.05461607942519,129341,44342,145057,294556,801169,12514,false
A Date with Destiny,Horror,55.15555491818618,7430,3172,11037,17199,47477,924,false
After Hours,Horror,55.92078749769632,10374,3445,10628,15694,58176,1348,false
All Shook Up,Horror,63.39885586266203,6793,2883,7593,9970,35841,902,false
All in Your Head,Horror,66.60209405284206,12244,3918,19464,32684,84814,3770,false
Are You Awake?,Horror,61.2623604079738,23081,6284,38095,72684,132601,8348,false
At the Window,Horror,50.951228291077044,23776,5256,21235,38677,143312,3277,false
Babysitter,Horror,52.106387914553466,54360,9965,37879,79576,196182,5944,false
Banging on the Door,Horror,54.31967601646535,17621,5997,24127,42075,106572,1849,false
Best Friend,Horror,52.56177181957325,14661,3681,8182,16916,53278,1730,false
Beth,Horror,52.52495790005954,27255,4698,20522,35584,77771,2224,false
Big House,Horror,57.75033303695031,5240,2026,13665,28644,74458,2386,false
Black Eyed Boy,Horror,53.82481940143645,27439,6042,20038,32510,111673,2176,false
Black Out,Horror,54.34788757983434,31242,9783,33141,63453,269335,4882,false
Bullies,Horror,60.63836194428754,21250,3811,15178,22200,55671,2159,false
Camping Trip,Horror,53.707006435598736,102937,33172,134216,291019,396512,7604,false
Can't Be Friends,Horror,48.49746709122343,53718,18815,63683,135042,475730,7504,false
Car Trouble,Horror,54.96101306153764,13659,4557,8660,12016,55775,905,false
Carcass,Horror,49.50511787231652,25478,8833,28576,62614,215515,2733,false
Computer Hack,Horror,58.744874032406756,8326,2395,17505,37799,84966,4158,false
Crazy Ex,Horror,52.96949925993102,43653,9869,32203,57180,106986,2379,false
Crush,Horror,35.47739336676637,26459,2275,8305,14952,10781,149,false
Date Night,Horror,47.21681178934162,71586,32239,88551,232396,584241,4244,false
Dead of Night,Horror,48.07767547997469,58856,31813,93277,211019,1004085,2564,false
Deadly Choice,Horror,63.33872110553784,11503,3894,13845,21099,85301,2290,false
Deal With The Devil,Horror,69.89373417668577,372108,180615,329382,545807,429701,990,false
Dirty Hands,Horror,46.65059318661292,45972,16973,40036,91728,324276,3211,false
Dog Haunting,Horror,61.01226611064347,10721,3194,10116,19018,54473,2555,false
Don't Go to School,Horror,50.73840280073062,73183,9713,50076,93562,176911,5157,false
Drive-Thru,Horror,51.20160259146628,26675,5317,25791,42724,144326,3224,false
Driven to Kill,Horror,42.612573092415744,63637,22699,43280,165823,55871,304,false
Drunken Night,Horror,53.975998262205636,8111,2825,15734,25892,100064,1864,false
